customer_id,product_id,quantity,re_purchased_week,Cluster
0,13,1.1111111111111112,2.5555555555555554,1
1,14,1.2,0.2,2
2,18,1.1904761904761905,2.2857142857142856,1
3,33,1.35,2.1,3
4,22,1.6956521739130435,0.5652173913043478,2
5,4,2.0,0.0,2
6,21,1.4761904761904763,0.0,2
7,9,1.1,0.7,2
8,10,1.9090909090909092,2.727272727272727,1
9,11,1.1538461538461537,4.153846153846154,1
10,13,1.6153846153846154,0.0,2
11,25,1.5517241379310345,1.5517241379310345,3
12,24,1.15625,3.40625,1
13,35,1.34,4.22,3
14,26,1.2307692307692308,0.0,2
15,38,1.2653061224489797,1.8775510204081634,3
16,9,1.7692307692307692,3.0,1
17,26,1.2258064516129032,2.064516129032258,3
18,22,1.0833333333333333,1.25,2
19,15,1.1333333333333333,0.0,2
20,13,1.2,1.2,2
21,23,1.3703703703703705,2.5555555555555554,1
22,24,1.3103448275862069,1.5517241379310345,3
23,6,1.0,3.142857142857143,1
24,36,1.3623188405797102,3.8550724637681157,3
25,4,1.6,1.6,2
26,10,1.1,0.0,2
27,13,1.2307692307692308,0.0,2
28,18,1.8333333333333333,0.0,2
29,19,1.75,0.45,2
30,1,2.0,0.0,2
31,15,1.3529411764705883,0.9411764705882353,2
32,22,1.8181818181818181,0.0,2
33,11,1.1818181818181819,0.0,2
34,32,1.0512820512820513,1.8461538461538463,3
35,18,1.2105263157894737,1.0526315789473684,2
36,23,1.125,0.6666666666666666,2
37,15,1.7333333333333334,0.0,2
38,12,1.6666666666666667,0.0,2
39,21,1.5384615384615385,2.6153846153846154,1
40,16,1.4545454545454546,2.5,1
41,48,1.4035087719298245,1.6666666666666667,3
42,14,1.0,0.0,2
43,32,1.2777777777777777,3.0925925925925926,3
44,9,1.6,0.3,2
45,18,1.05,2.7,1
46,22,1.0,3.0714285714285716,1
47,13,1.2307692307692308,0.0,2
48,12,2.75,0.0,0
49,18,1.35,1.6,2
50,11,2.0,1.25,2
51,5,1.1666666666666667,0.8333333333333334,2
52,6,2.1666666666666665,0.0,2
53,15,1.0588235294117647,1.1764705882352942,2
54,12,1.2307692307692308,0.9230769230769231,2
55,29,1.15625,1.5,3
56,19,1.4736842105263157,0.0,2
57,23,1.4137931034482758,1.3448275862068966,2
58,16,1.7222222222222223,1.8333333333333333,1
59,28,1.5172413793103448,1.0689655172413792,3
60,14,1.125,1.0625,2
61,17,2.2,1.05,2
62,23,1.28,0.32,2
63,58,1.6375,1.925,3
64,8,1.4444444444444444,1.2222222222222223,2
65,12,1.2307692307692308,1.1538461538461537,2
66,2,2.5,0.0,0
67,23,1.04,1.92,1
68,13,1.4666666666666666,1.7333333333333334,1
69,37,1.2619047619047619,1.5,3
70,18,1.5555555555555556,0.0,2
71,5,1.6,0.0,2
72,8,1.375,0.0,2
73,8,1.25,0.0,2
74,16,1.1666666666666667,1.9444444444444444,1
75,44,1.4098360655737705,2.4918032786885247,3
76,30,1.5,4.0,1
77,20,3.375,2.2083333333333335,0
78,21,1.5416666666666667,0.9583333333333334,2
79,24,1.3333333333333333,1.3333333333333333,2
80,19,1.0,2.0,1
81,7,1.1428571428571428,0.0,2
82,7,1.25,0.125,2
83,11,1.4545454545454546,0.0,2
84,6,1.1666666666666667,0.0,2
85,33,2.1956521739130435,3.282608695652174,3
86,14,1.0,1.6470588235294117,2
87,7,3.4285714285714284,0.0,0
88,8,1.25,0.0,2
89,7,1.0,1.3333333333333333,2
90,22,1.1153846153846154,2.076923076923077,1
91,26,1.6333333333333333,0.8,2
92,15,1.6,0.0,2
93,3,2.25,2.0,1
94,27,1.2916666666666667,4.0625,1
95,14,1.0666666666666667,0.9333333333333333,2
96,3,3.0,3.6,0
97,8,1.75,6.666666666666667,1
98,15,1.4375,0.1875,2
99,12,1.2,3.2,1
100,42,1.0454545454545454,0.5,3
101,9,1.3333333333333333,0.0,2
102,4,1.0,0.0,2
103,14,1.4285714285714286,0.0,2
104,13,1.3571428571428572,1.4285714285714286,2
105,14,1.1428571428571428,0.0,2
106,25,1.0344827586206897,2.2413793103448274,1
107,24,1.6071428571428572,2.2857142857142856,1
108,24,1.4838709677419355,2.5483870967741935,1
109,20,1.0384615384615385,2.8461538461538463,1
110,36,1.3333333333333333,3.0784313725490198,3
111,8,1.4444444444444444,0.4444444444444444,2
112,4,1.25,0.0,2
113,21,1.25,2.5714285714285716,1
114,67,1.025,1.775,3
115,16,1.6111111111111112,1.3333333333333333,2
116,12,1.25,4.125,1
117,27,1.3529411764705883,3.4411764705882355,1
118,24,1.1379310344827587,2.0689655172413794,1
119,33,1.9285714285714286,1.5952380952380953,3
120,10,1.0909090909090908,1.3636363636363635,2
121,8,1.125,0.0,2
